2017-05-31 02:40:01, Temperature,       23.4,
2017-05-31 02:40:02, Humidity,       56.7,
2017-05-31 03:00:01, Temperature,       23.4,
2017-05-31 03:00:01, Humidity,       54.3,
2017-05-31 03:20:02, Temperature,       23.4,
2017-05-31 03:20:02, Humidity,       60.2,
2017-05-31 03:40:01, Temperature,       23.4,
2017-05-31 03:40:02, Humidity,       56.3,
2017-05-31 04:00:02, Temperature,       23.4,
2017-05-31 04:00:02, Humidity,       57.7,
2017-05-31 04:20:02, Temperature,       23.4,
2017-05-31 04:20:02, Humidity,       60.7,
2017-05-31 04:40:01, Temperature,       23.4,
2017-05-31 04:40:02, Humidity,       59.2,
2017-05-31 05:00:01, Temperature,       22.7,
2017-05-31 05:00:01, Humidity,       57.7,
2017-05-31 05:20:01, Temperature,       23.4,
2017-05-31 05:20:01, Humidity,       59.7,
2017-05-31 05:40:02, Temperature,       23.4,
2017-05-31 05:40:02, Humidity,       59.2,
2017-05-31 06:00:02, Temperature,       23.4,
2017-05-31 06:00:02, Humidity,       58.2,
2017-05-31 06:20:01, Temperature,       23.4,
2017-05-31 06:20:02, Humidity,       58.7,
2017-05-31 06:40:01, Temperature,       23.4,
2017-05-31 06:40:01, Humidity,       59.2,
2017-05-31 07:00:01, Temperature,       23.4,
2017-05-31 07:00:01, Humidity,       58.2,
2017-05-31 07:20:02, Temperature,       23.4,
2017-05-31 07:20:02, Humidity,       57.2,
2017-05-31 07:40:01, Temperature,       23.4,
2017-05-31 07:40:01, Humidity,       58.2,
2017-05-31 08:00:01, Temperature,       23.4,
2017-05-31 08:00:01, Humidity,       57.2,
2017-05-31 08:20:01, Temperature,       23.4,
2017-05-31 08:20:01, Humidity,       56.7,
2017-05-31 08:40:02, Temperature,       23.4,
2017-05-31 08:40:02, Humidity,       58.2,
2017-05-31 09:00:01, Temperature,       23.4,
2017-05-31 09:00:01, Humidity,       57.2,
2017-05-31 09:20:02, Temperature,       23.4,
2017-05-31 09:20:02, Humidity,       56.3,
2017-05-31 09:40:02, Temperature,       23.4,
2017-05-31 09:40:02, Humidity,       57.7,
2017-05-31 10:00:02, Temperature,       23.4,
2017-05-31 10:00:02, Humidity,       56.7,
2017-05-31 10:20:01, Temperature,       23.4,
2017-05-31 10:20:02, Humidity,       56.3,
2017-05-31 10:40:02, Temperature,       23.4,
2017-05-31 10:40:02, Humidity,       57.2,
2017-05-31 11:00:01, Temperature,       23.4,
2017-05-31 11:00:02, Humidity,       56.3,
2017-05-31 11:20:01, Temperature,       23.4,
2017-05-31 11:20:02, Humidity,       56.3,
2017-05-31 11:40:01, Temperature,       23.4,
2017-05-31 11:40:02, Humidity,       56.7,
2017-05-31 12:00:01, Temperature,       24.1,
2017-05-31 12:00:01, Humidity,       56.3,
